text,key,tweet.user.screen_name,Other,user.location,created_at
"(1/3) I have been appealed to by several Members of Parliament, including Members of the Opposition, asking for gre… https://t.co/7bzArICYUm",M4VVHLSYRQB2NC84XRATK763J,AndrewHolnessJM,KYMSCRM7OWJKAR34IYHTQ7MP9,Jamaica,2022-11-15 20:46:54+00:00
"A State of Public Emergency has been declared in the parishes of Clarendon, St. Catherine, and specified areas of K… https://t.co/FEMDkEuIme",45VKPR6F6T3HVR32VH0NLWDBH,AndrewHolnessJM,1L4S1YLWO9CSAPDR0AQ3LCI0E,Jamaica,2022-11-15 15:56:17+00:00
#PressRelease: Cabinet notes protest action taken by some transport operators today in sections of the island and e… https://t.co/7Xe5jeWY3F,28MWJXMCXFXINXPO4UPI250A1,AndrewHolnessJM,QKRRQSGMKO679MHYU3Z5QZKWU,Jamaica,2022-11-14 21:01:49+00:00
"I am happy that under this Programme, we are able to provide homes for families like Jordeen's right across Jamaica… https://t.co/3rsUuXV7nC",377VV45EPL9Z0VXV7H9A54L2J,AndrewHolnessJM,YKTRGVXJ495N4IVDV16739A0A,Jamaica,2022-11-14 19:14:59+00:00
"Miss Joan, who suffered a stroke and is partially paralyzed, was residing in a severely compromised dwelling before… https://t.co/Cso6W6TKjv",98K37SY2JOD9L5VE3R5VLU6PP,AndrewHolnessJM,BHUEPDSO7TC3NRY76JGSXTC5C,Jamaica,2022-11-14 19:14:58+00:00
The goal of the New Social Housing Programme is to reach deserving Jamaicans islandwide who would not qualify for a… https://t.co/WVRV8gBf1d,A45UAAXXHWW9AQUI23G2E6HMS,AndrewHolnessJM,S6UAOPF4DU5CFBS9JI274EA6G,Jamaica,2022-11-14 19:14:56+00:00
"(2/2) Through the New Social Housing Programme, they now have a roof over their heads and comfortable place to live… https://t.co/KrvwyXsY6O",KHO5M7V09PB2ZSCTSDQFRV0NO,AndrewHolnessJM,2NAYGCO1G5RVTKTOX05VF98O7,Jamaica,2022-11-14 17:03:57+00:00
(1/2) The Stephenson brothers were overwhelmed with gratitude last Thursday as they received the keys to their new… https://t.co/R4MqbocJfR,LZ23P7WUN3MH308YCOLNS62LG,AndrewHolnessJM,H683AI0FHPSBALQXCE0376J39,Jamaica,2022-11-14 17:03:55+00:00
"A reason to smile! 

On Thursday, Ms. Louise Sparks proudly collected the keys to her brand new home under the New… https://t.co/tRfYwSCj4o",GPRPJOZHQCQLI6CXHF0MZ9SCP,AndrewHolnessJM,8Y0USQLJ0FQGJYV04TPQKIFA1,Jamaica,2022-11-13 18:55:21+00:00
"Even though we outside, don’t drink and drive. #RoadSafety #Jamaica 🇯🇲 https://t.co/adPPe4xHGP",YKMX42WM8VJY4Y3S9M8765H5U,AndrewHolnessJM,8JMXDCEDYCYBMEIQ6J9XHZ8WP,Jamaica,2022-11-13 15:46:39+00:00
Drive within the speed limit; observe the road code.  #DriveCarefully #Jamaica https://t.co/3jnaAIY8UP,GYQSJT1PLIKU6AIFOZ94UHLEP,AndrewHolnessJM,WZAF93Z1HZMJLHDU3K0DMAN4K,Jamaica,2022-11-12 20:26:27+00:00
(2/2) Persons in possession of licensed firearms or ammunition without appropriate authorization are to surrender t… https://t.co/Hm1JU2BVpn,XHV7Z7XVCOKQNRXC4JK5KAD0F,AndrewHolnessJM,6DEL4ETPJO4WRTAOQA1S2W20W,Jamaica,2022-11-12 18:41:33+00:00
"(1/2) The Gun Amnesty ends in ONE WEEK!

Persons in possession of illegal firearms or ammunition are to surrender t… https://t.co/KpZKvMeRFU",ATUG1YSPUSYMHZZD2TQ7IM4U3,AndrewHolnessJM,N3BEY5OVHZAEVN9TK3M6XZLVX,Jamaica,2022-11-12 18:41:32+00:00
"(2/2) Now, under the New Social Housing programme, not only is he the owner of a brand new house but he will never… https://t.co/fdXd9ONt94",FHETJ1SGYANH1KCG6GP1U0KC2,AndrewHolnessJM,6HXD4ECWYH4CTB6BYMG6XUMKZ,Jamaica,2022-11-11 18:50:50+00:00
"(1/2) Rain or shine, we are committed to ensuring that our most vulnerable citizens have access to proper shelter.… https://t.co/XJR8twmQMt",1OO548ZONDZ8YFFT2GQL17Z9O,AndrewHolnessJM,J5BL948NO01QFP8U3ON9W5SE7,Jamaica,2022-11-11 18:50:49+00:00
"(2/2) Yesterday, Mr. Colley received his brand new two-bedroom home inclusive of a bathroom, kitchen and a living r… https://t.co/nQl0QYNdlk",MXB2VQ8O05AZ8OXAWGA25NW37,AndrewHolnessJM,589HCOYAVW2BAYH4YRRXWDQSL,Jamaica,2022-11-11 16:18:37+00:00
(1/2) Current estimates indicate that about 6000 Jamaicans live in substandard conditions. Through the New Social H… https://t.co/9K9ThSL8mX,QIF5U29SD94BGONQE5KDCVMSM,AndrewHolnessJM,GPOGCQ672GPG6PPKOTCZ6T55M,Jamaica,2022-11-11 16:18:36+00:00
"#NSHP 🇯🇲

Today, six beneficiaries will receive keys to their brand new homes made possible through the New Social… https://t.co/qebcOkbJGG",N523TYVQKEZ6968GMP8T0LLBW,AndrewHolnessJM,ZFSVR4YCL6NX2R7TO1AZ97YT2,Jamaica,2022-11-10 21:04:47+00:00
"(2/2) Howard Avenue is approximately 5.5km and 8km, respectively, from the commercial centres of Half-Way-Tree and Downtown, Kingston.",AKIF72CO8SK43VOFDZFLMFTFF,AndrewHolnessJM,33WTX7K9HVTR2R7AF84EXWLYT,Jamaica,2022-11-10 13:40:05+00:00
"(1/2) Yesterday, we broke ground for the development of 248 units at the Howard Avenue Apartments in St. Andrew.… https://t.co/D5Lsn0jVbf",DM3UA3XE9NO01QC8QPFEU15HK,AndrewHolnessJM,9MD6OCFCUIAYAYYE0WVXMP65Q,Jamaica,2022-11-10 13:40:04+00:00
(3/3) This development is a joint venture with Centauri Real Estate Company Limited (CREC) under the NHT’s Guarante… https://t.co/1cOvifuRv6,WKN5RLLVMTJF0JAH1E367KTUK,AndrewHolnessJM,D7ZBXYXYWU8ECJPAB640IRWS7,Jamaica,2022-11-09 21:10:31+00:00
"(2/3) This morning, we added another story to the NHT's chapter as we broke ground for the construction of 248 stud… https://t.co/TBA5B8ngw8",2B1EY2S2KQIJT7WV5FLNZP4YD,AndrewHolnessJM,XDTPQ18QCH6C0AO5ZNF6IKBLY,Jamaica,2022-11-09 21:10:29+00:00
"(1/3) With housing demand on the rise, the National Housing Trust continues to create more innovative ideas, projec… https://t.co/xogzySQw68",N5JQ5SVV67ZE04E3YEBTXHTHC,AndrewHolnessJM,U9QJBTSC2EV8MXJF4NJUQ4FP3,Jamaica,2022-11-09 21:10:27+00:00
"Our police officers have recorded significant improvements in their overall operations. 
We will continue to suppor… https://t.co/xU5jhVAWdr",J5PPKII5XNF6KXX4OUFMC7O3H,AndrewHolnessJM,UT10T65AZBZ5T7WF1RPN4MXU4,Jamaica,2022-11-09 17:37:05+00:00
"Talk truth! 

According to the International Gun Alliance, here’s one fact that you should know about gun laws. It’… https://t.co/VUs9WsBaz5",86Z8S0WOX6X2TC8R7DKW93M6T,AndrewHolnessJM,6HYD1DFO4JXQJY1X1LQIYYQS1,Jamaica,2022-11-09 15:08:05+00:00
I ask that you support them in the fight against crime as we promote unity and mutual respect between citizens and… https://t.co/Cpka4SKCtG,AYKRHYS8IWEVHUX2OX1RV47HI,AndrewHolnessJM,I32AER8W7T63J7Z08S6FPU2CN,Jamaica,2022-11-09 11:48:43+00:00
"It gives me tremendous pleasure to see the courage, commitment and hard work of our officers rewarded.

Our officer… https://t.co/B8an8MfhRQ",GU48VMHQ5JCA2LKH211K1YB8W,AndrewHolnessJM,5LGF9O10XK7UZ6LBB1V7BULA1,Jamaica,2022-11-09 11:48:42+00:00
"I was pleased to hand over laptops to LASCO/Jamaica Constabulary Force (JCF) Police Officer of the Year, Corporal R… https://t.co/kr4NjVyJz6",461N2ZF7OY256E9T7Y87ACA7N,AndrewHolnessJM,7ZAWNMG71UACQZL1KBE0LWQP8,Jamaica,2022-11-09 11:48:40+00:00
Imagine hearing the sound of a prison cell closing in on you for the next 25 years or for the rest of your life?… https://t.co/ezDlQ6hndy,B2HON5UHIX3BX9I9KM17WHDS5,AndrewHolnessJM,KA3OJOZA1AQDNIC2LJ6CJ7F5Y,Jamaica,2022-11-08 17:52:43+00:00
(3/3) I congratulate them on their awesome accomplishment and encourage them to continue serving as model officers.… https://t.co/CzJo9lxCdZ,3YWT0OBYDHAJZXY0WGKQ1T0YL,AndrewHolnessJM,B78EJK4LCP4J71LU1M50F88OH,Jamaica,2022-11-07 17:24:12+00:00
"(2/3) On Friday, I met with this year’s LASCO/Jamaica Constabulary Force (JCF) Police Officer of the Year, Corporal… https://t.co/aL95acoZ57",Z6IXT3JE25XNKCBH2DMSUTGNJ,AndrewHolnessJM,OO4CM56DOR8W4XIN7QYURILZU,Jamaica,2022-11-07 17:24:08+00:00
(1/3) Our police officers are among the bravest men and women in our society and it’s critical that we express our… https://t.co/NpvjXmif7f,YOWL3W2BV108I0STZV9ZHTN0Y,AndrewHolnessJM,8HQYX7A94RWTTKZGIP6DCJKHO,Jamaica,2022-11-07 17:24:04+00:00
"Get the facts! Every illegal gun has a price. 

Call Crime Stop at 3-1-1 to make a report if you have information.… https://t.co/mMIlxpmbm7",2NDH0OMF5N20POQ5E918JW3CJ,AndrewHolnessJM,8FMH3JQUY8ST8LW640F5BRUWQ,Jamaica,2022-11-07 11:18:50+00:00
